candidate_id,alpha_family,candidate_name,mechanism,economic_rationale,indian_market_relevance,required_data,data_status,pit_status,execution_feasibility,cost_sensitivity,capacity_assessment,holding_period,competition,research_complexity,failure_modes,research_priority,economic_priority_score
C01,Price/Return,Overnight Gap Reversal,Large overnight gaps (up or down) reverse during the ensuing day or next few days.,"Retail overreaction at the open is absorbed by institutional liquidity providers, pulling price back to fundamental value.","Indian markets have heavy retail participation at the open, often driven by global cues (SGX Nifty / US markets), leading to exaggerated opening prints.",Daily OHLC (Open and Close separately).,AVAILABLE,YES,"PARTIALLY_FEASIBLE (Requires entering at T+1 Open and exiting at T+1 Close for intraday, or T+2 Open for overnight reversal).",HIGH,"High capacity on Nifty 50, but susceptible to slippage if executed exactly at the open.",Intraday to 1-2 days,"Widely exploited by HFTs for intraday, less crowded for multiday.",LOW,Transaction costs consuming the small gap edge. Lookahead bias if Open/Close timing is mishandled.,RESEARCH_READY,72.0
C02,Price/Return,Overnight Gap Continuation,Large overnight gaps continue trending in the direction of the gap over the next 3-5 days.,"Gaps represent major structural news (earnings, macro). Price discovery is not instantaneous; institutional money scales in over several days.",Institutional execution in India often spans multiple days due to liquidity constraints in even Nifty 50 stocks.,Daily OHLC.,AVAILABLE,YES,FEASIBLE,MODERATE,High capacity.,3-5 days,Moderately crowded.,LOW,Whipsaws in choppy regimes. Transaction costs.,RESEARCH_READY,84.0
C03,Price/Return,Short-Term Cross-Sectional Reversal,Buy the worst 5 performers of the Nifty 50 over the last 3 days.,Liquidity shocks and temporary supply imbalances cause price dislocation that reverts as market makers restore equilibrium.,"Highly relevant. Concentrated ETF flows often blindly sell constituents, causing temporary dislocations in fundamentally sound stocks.",Daily Close.,AVAILABLE,YES,FEASIBLE,HIGH,High.,3-5 days,Moderately crowded.,LOW,Catching falling knives during severe market crashes. Cost drag.,RESEARCH_READY,79.0
C04,Price/Return,Residual Momentum,Regress stock returns against the Nifty 50. Buy stocks with the highest residual (idiosyncratic) momentum.,"Stripping out market beta reveals true, stock-specific accumulation by informed market participants.","Indian indices are heavily skewed by a few mega-caps (Reliance, HDFC). Residual momentum isolates true stock-specific flows.","Daily Close, Nifty 50 Index Close.",AVAILABLE,YES,FEASIBLE,MODERATE,High.,1-4 weeks,Less researched than absolute momentum.,MEDIUM,"Requires robust rolling regressions (computational overhead). Market neutral portfolios require shorting, which is blocked. Long-only residual momentum may underperform in bull runs.",RESEARCH_PRIORITY,86.0
C05,Price/Return,Volatility Compression Breakout (NR7),"Buy stocks experiencing extreme short-term volatility compression (e.g., Narrowest Range of last 7 days) that subsequently break out.",Volatility is cyclical. Periods of extreme indifference/compression reliably precede violent expansions as new information enters.,"Classic retail strategy in India, but often executed poorly. Systematizing it cross-sectionally on Nifty 50 provides statistical rigor.",Daily OHLC.,AVAILABLE,YES,FEASIBLE,MODERATE,High.,2-5 days,"Widely known, but mostly applied discretionarily.",LOW,False breakouts. Low hit rate requires strict risk management.,RESEARCH_READY,77.0
C06,Volume/Liquidity,Silent Volume Shock,"Volume > 3x average, but price change is exceptionally tight (< 0.5%).","Institutional accumulation happening passively against retail selling, absorbing all liquidity without moving price.",Pre-breakout footprint for large caps where massive liquidity is needed to build positions.,Daily OHLCV.,AVAILABLE,YES,FEASIBLE,MODERATE,High.,1-3 weeks,Less researched systematically.,MEDIUM,Could represent a large block deal with no directional implication. Hard to distinguish accumulation from distribution without OI.,RESEARCH_PRIORITY,86.0
C07,Volume/Liquidity,Price-Volume Divergence (Exhaustion),"Price drops to a new 20-day low, but volume is < 50% of 20-day average.",Lack of selling pressure at lows indicates supply exhaustion. The markdown is unconfirmed by institutional volume.,Useful in identifying false breakdowns in a structurally long-biased market.,Daily OHLCV.,AVAILABLE,YES,FEASIBLE,HIGH,Moderate.,2-5 days,Moderate.,LOW,Catching falling knives. Low volume might just precede a massive volume washout.,RESEARCH_READY,80.0
C08,Market Structure,Market Breadth Divergence,"Nifty 50 index is rising, but Nifty 50 Advance-Decline line is falling. Used as a market-timing regime filter.",Trend is supported by only a few heavyweights; market is internally weak and prone to systemic reversal.,Nifty 50 is heavily cap-weighted. Reliance and HDFC Bank can mask underlying weakness in the other 48 stocks.,Daily Close of all Nifty 50 stocks + Index Close.,AVAILABLE,YES,FEASIBLE (Regime filter applied to cash strategies).,"LOW COST SENSITIVITY (Reduces trades, thus saving costs).",Market-wide.,1-3 months (Regime duration),Standard institutional tool.,MEDIUM,"Can keep you out of a narrow but persistent bull market, causing severe underperformance vs benchmark.",RESEARCH_READY,92.0
C09,Cross-Asset,India VIX Panic Spikes,Buy Nifty 50 stocks when India VIX spikes > 20% in 3 days.,"VIX spikes indicate forced liquidation, margin calls, and panic pricing, creating a transient risk-premium overcompensation.",Indian retail panic and DII (Domestic Institutional Investors) acting as liquidity providers of last resort creates reliable mean reversion after VIX spikes.,"India VIX Daily Close, Nifty 50 Equity OHLC.",AVAILABLE,YES,FEASIBLE,LOW COST SENSITIVITY (High gross returns from buying panics overcome friction).,Massive.,1-4 weeks,Less crowded systematically in cash equities.,LOW,"In a true systemic crisis (e.g., COVID 2020), VIX can stay elevated while equities drop another 30%. Requires strict capital scaling.",RESEARCH_PRIORITY,93.0
C10,Cross-Asset,VIX Term Structure / Basis,Ratio of Implied Volatility (VIX) to Realized Volatility (20-day historical vol of Nifty 50). Buy when IV/RV > 1.5.,"When implied volatility wildly exceeds actual realized volatility, fear is overpriced relative to the actual mathematical risk.","Retail option buying in India chronically overprices downside puts, driving VIX artificially high relative to actual index movement.","India VIX, Nifty 50 Index.",AVAILABLE,YES,FEASIBLE,LOW COST SENSITIVITY,Massive.,1-4 weeks,"Standard for option sellers, rare for cash equity timing.",MEDIUM,Realized vol can suddenly spike to meet implied vol.,RESEARCH_PRIORITY,94.0
